"Assessed","Assessor","question1","question2","dimension","answer"
"Dorothine Ansbro","Darrelle Fasheh"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Dorothine Ansbro","Darrelle Fasheh"," ","Up to 3 things the person should improve","",""
"Dorothine Ansbro","Darrelle Fasheh"," ","Up to 3 things the person should keep doing","",""
"Dorothine Ansbro","Darrelle Fasheh"," ","Spaceholder","",""
"Dorothine Ansbro","Darrelle Fasheh"," ","Spaceholder","",""
"Dorothine Ansbro","Darrelle Fasheh"," ","Spaceholder","",""
"Dorothine Ansbro","Darrelle Fasheh"," ","Your relationship to the person being assessed","","Peer"
"Dorothine Ansbro","Darrelle Fasheh","1. This person proactively works on solutions."," ","Current Performance","3"
"Dorothine Ansbro","Darrelle Fasheh","1. This person proactively works on solutions."," ","Desired Performance",""
"Dorothine Ansbro","Darrelle Fasheh","2. This person makes the team more effective."," ","Current Performance","7"
"Dorothine Ansbro","Darrelle Fasheh","2. This person makes the team more effective."," ","Desired Performance",""
"Dorothine Ansbro","Darrelle Fasheh","3. This person delivers results that align with the project or team's needs."," ","Current Performance","7"
"Dorothine Ansbro","Darrelle Fasheh","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Dorothine Ansbro","Darrelle Fasheh","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","1"
"Dorothine Ansbro","Darrelle Fasheh","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Dorothine Ansbro","Darrelle Fasheh","5. On my next project I would like to work with this person again."," ","Current Performance","2"
"Dorothine Ansbro","Darrelle Fasheh","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Darrelle Fasheh","Dorothine Ansbro"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Darrelle Fasheh","Dorothine Ansbro"," ","Up to 3 things the person should improve","","No improvement is necessary"
"Darrelle Fasheh","Dorothine Ansbro"," ","Up to 3 things the person should keep doing","","Your upskilling is great"
"Darrelle Fasheh","Dorothine Ansbro"," ","Spaceholder",""," "
"Darrelle Fasheh","Dorothine Ansbro"," ","Spaceholder","",""
"Darrelle Fasheh","Dorothine Ansbro"," ","Spaceholder",""," "
"Darrelle Fasheh","Dorothine Ansbro"," ","Your relationship to the person being assessed","","Peer"
"Darrelle Fasheh","Dorothine Ansbro","1. This person proactively works on solutions."," ","Current Performance","3"
"Darrelle Fasheh","Dorothine Ansbro","1. This person proactively works on solutions."," ","Desired Performance",""
"Darrelle Fasheh","Dorothine Ansbro","2. This person makes the team more effective."," ","Current Performance","6"
"Darrelle Fasheh","Dorothine Ansbro","2. This person makes the team more effective."," ","Desired Performance",""
"Darrelle Fasheh","Dorothine Ansbro","3. This person delivers results that align with the project or team's needs."," ","Current Performance","5"
"Darrelle Fasheh","Dorothine Ansbro","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Darrelle Fasheh","Dorothine Ansbro","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","1"
"Darrelle Fasheh","Dorothine Ansbro","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Darrelle Fasheh","Dorothine Ansbro","5. On my next project I would like to work with this person again."," ","Current Performance","3"
"Darrelle Fasheh","Dorothine Ansbro","5. On my next project I would like to work with this person again."," ","Desired Performance",""
