"name","email","position","relevance"
"Sameh Haeck","sameh.haeck@test.com","Engineer","Yes"
"Marian Rengifo","marian.rengifo@test.com","Industrial Designer","No"
"Skye-Daniel Brecker","skye-daniel.brecker@test.com","Engineer","Yes"
"Jean-Pierre Opher","jean-pierre.opher@test.com","Engineer","No"
"Mirielle Binckley","mirielle.binckley@test.com","Engineer","Yes"
"Gallwai Khandelwal","gallwai.khandelwal@test.com","Engineer","Yes"
"Dorothine Ansbro","dorothine.ansbro@test.com","Engineer","Yes"
"Darrelle Fasheh","darrelle.fasheh@test.com","Coordinator","Yes"
"Kenna Strelec","kenna.strelec@test.com","Engineer","Yes"
"Deanna Chopp","deanna.chopp@test.com","Senior Industrial Designer","Yes"
"Sadiah Deigado","sadiah.deigado@test.com","Engineer","No"
"Anne-Maree Koeber","anne-maree.koeber@test.com","Engineer","Yes"
"Jordi Delso","jordi.delso@test.com","Engineer","Yes"
"Averoes Cores","averoes.cores@test.com","Engineer","Yes"
"Mara Allgyer","mara.allgyer@test.com","Engineer","Yes"
"Karleen Dobyns","karleen.dobyns@test.com","Industrial Designer","Yes"
"Ron Durda","ron.durda@test.com","Industrial Designer","Yes"
"Suzana Spink","suzana.spink@test.com","Senior Industrial Designer","Yes"
"Christoffer Ras","christoffer.ras@test.com","Engineer","Yes"
"Allene Masley","allene.masley@test.com","Engineer","Yes"
"Louissa Sekar","louissa.sekar@test.com","Engineer","Yes"
"Oliver Chayka","oliver.chayka@test.com","Industrial Designer","Yes"
"Dominica Macha","dominica.macha@test.com","Senior Industrial Designer","Yes"
"Alysson Shard","alysson.shard@test.com","Industrial Designer","Yes"
"Naseen Jiao","naseen.jiao@test.com","Analyst","Yes"
"Clifford Dalpra","clifford.dalpra@test.com","Industrial Designer","Yes"
"Tena Herrerra","tena.herrerra@test.com","Engineer","No"
"Venetta Arqueta","venetta.arqueta@test.com","Industrial Designer","Yes"
"Rahela Bastarache","rahela.bastarache@test.com","Industrial Designer","No"
"Kristyn Deriggi","kristyn.deriggi@test.com","Engineer","Yes"
"Jackaleen Masingill","jackaleen.masingill@test.com","Industrial Designer","No"
"Blaire Heiser","blaire.heiser@test.com","Engineer","Yes"
"Mishan Rogan","mishan.rogan@test.com","Engineer","Yes"
"Marys Bellocchio","marys.bellocchio@test.com","Senior Industrial Designer","Yes"
"Angelle Ranck","angelle.ranck@test.com","Engineer","No"
"Ihtisham Colona","ihtisham.colona@test.com","Engineer","Yes"
"Nabila Soros","nabila.soros@test.com","Industrial Designer","Yes"
"Bushra Hatrick","bushra.hatrick@test.com","Industrial Designer","Yes"
"Stacey-Anne Greenig","stacey-anne.greenig@test.com","Industrial Designer","Yes"
"Laureen Jagtiani","laureen.jagtiani@test.com","Engineer","Yes"
"Marjiwra Clowe","marjiwra.clowe@test.com","Industrial Designer","Yes"
"Nadelena Ala","nadelena.ala@test.com","Engineer","Yes"
"Peta Karmazin","peta.karmazin@test.com","Industrial Designer","No"
"Metin Buntyn","metin.buntyn@test.com","Engineer","Yes"
"Graym Renollet","graym.renollet@test.com","Senior Industrial Designer","No"
"Weru Shifflette","weru.shifflette@test.com","Industrial Designer","No"
"Lilian Goodmon","lilian.goodmon@test.com","Senior Industrial Designer","Yes"
"Catronia Finocchi","catronia.finocchi@test.com","Industrial Designer","Yes"
"Dyann Woodhurst","dyann.woodhurst@test.com","Industrial Designer","Yes"
"Carlanne Gelbard","carlanne.gelbard@test.com","Engineer","Yes"
